date,pm10,pm25,co,no2,so2,o3,aerosol_optical_depth,dust,uv_index,aqi,european_aqi,hour,day,month,weekday,aqi_change_rate,aqi_lag_1,aqi_lag_7,target_aqi,temperature,humidity,wind_speed,rain
2022-08-12,49.29166666666666,31.21666666666667,605.75,34.49166666666667,32.987500000000004,82.20833333333333,0.37,13.583333333333334,1.3375,138.375,88.66666666666667,0,12,8,4,-62.04166666666663,200.41666666666663,82.26315789473684,79.54166666666667,28.1,86,40.5,82.7
2022-08-13,48.94166666666667,32.1375,704.0,35.56666666666667,49.34583333333333,94.0,0.26,3.083333333333333,1.9541666666666664,99.75,66.125,0,13,8,5,-38.625,138.375,83.83333333333333,77.95833333333333,27.2,87,20.6,21.2
2022-08-14,39.90833333333333,24.97083333333333,475.9166666666667,20.325,27.83333333333333,99.5,0.3129166666666667,3.375,2.04375,105.08333333333331,66.20833333333333,0,14,8,6,5.333333333333314,99.75,147.25,79.54166666666667,27.5,84,25.9,43.0
2022-08-15,38.45,25.370833333333334,678.125,47.37916666666666,53.9125,58.875,0.3604166666666666,2.958333333333333,1.1354166666666667,79.54166666666667,61.04166666666666,0,15,8,0,-25.541666666666643,105.08333333333331,176.75,66.70833333333333,27.7,87,21.6,32.0
2022-08-16,43.645833333333336,28.066666666666663,644.25,39.54166666666666,38.458333333333336,70.70833333333333,0.4212499999999999,9.416666666666666,1.15625,77.95833333333333,58.708333333333336,0,16,8,1,-1.5833333333333428,79.54166666666667,152.5,73.45833333333333,27.6,87,14.1,11.1
2022-08-17,28.791666666666668,19.054166666666667,435.0416666666667,21.5125,18.7625,81.375,0.5470833333333334,2.625,1.2708333333333333,79.54166666666667,57.75,0,17,8,2,1.5833333333333428,77.95833333333333,157.66666666666666,71.70833333333333,27.9,88,27.1,19.1
2022-08-18,42.03333333333333,22.23333333333333,271.5,13.645833333333334,11.458333333333334,47.875,0.5316666666666666,19.541666666666668,0.8895833333333334,66.70833333333333,40.29166666666666,0,18,8,3,-12.833333333333343,79.54166666666667,200.41666666666663,74.16666666666667,27.8,87,35.6,9.6
2022-08-19,46.5125,22.1,234.125,12.4,11.1375,35.208333333333336,0.6404166666666666,28.58333333333333,0.5979166666666667,73.45833333333333,55.625,0,19,8,4,6.75,66.70833333333333,138.375,74.91666666666667,27.5,87,34.5,0.8
2022-08-20,49.39166666666667,22.729166666666668,275.9583333333333,13.166666666666666,13.683333333333332,44.125,0.6458333333333334,33.75,1.3708333333333331,71.70833333333333,54.16666666666666,0,20,8,5,-1.75,73.45833333333333,99.75,75.83333333333333,27.6,87,26.5,1.8
2022-08-21,53.56666666666666,24.104166666666668,314.0,14.854166666666666,16.220833333333335,48.54166666666666,0.6329166666666667,40.125,1.3895833333333334,74.16666666666667,60.25,0,21,8,6,2.458333333333343,71.70833333333333,105.08333333333331,76.66666666666667,27.7,87,28.6,2.4
2022-08-22,55.3375,24.116666666666664,307.125,13.975,14.3375,53.29166666666666,0.5558333333333333,46.66666666666666,1.9625,74.91666666666667,61.125,0,22,8,0,0.75,74.16666666666667,79.54166666666667,80.5,27.8,85,22.5,0.5
2022-08-23,52.99583333333334,23.854166666666668,358.0833333333333,16.650000000000002,16.541666666666668,47.66666666666666,0.6275000000000001,46.583333333333336,1.33125,75.83333333333333,61.875,0,23,8,1,0.9166666666666572,74.91666666666667,77.95833333333333,82.875,27.2,86,23.5,3.2
2022-08-24,56.2,25.383333333333336,296.0,15.275,12.8,42.91666666666666,0.7733333333333333,46.833333333333336,0.7395833333333334,76.66666666666667,61.54166666666666,0,24,8,2,0.8333333333333428,75.83333333333333,79.54166666666667,79.16666666666667,27.2,84,30.3,12.8
2022-08-25,58.25416666666666,26.9875,254.5,11.9875,11.029166666666669,51.16666666666666,0.725,38.91666666666666,1.4583333333333333,80.5,63.208333333333336,0,25,8,3,3.8333333333333286,76.66666666666667,66.70833333333333,72.29166666666667,28.0,81,31.3,0.0
2022-08-26,60.49583333333334,27.383333333333336,278.5833333333333,13.5875,13.225,54.333333333333336,0.7266666666666667,46.0,1.6166666666666665,82.875,63.875,0,26,8,4,2.375,80.5,73.45833333333333,68.0,27.4,81,24.5,0.1
2022-08-27,50.5,23.95,283.0416666666667,13.116666666666667,12.829166666666666,52.833333333333336,0.6520833333333333,34.083333333333336,1.6520833333333331,79.16666666666667,62.25,0,27,8,5,-3.7083333333333286,82.875,71.70833333333333,74.375,27.1,81,25.8,0.4
2022-08-28,41.18333333333333,20.541666666666668,251.75,10.945833333333333,10.629166666666666,56.375,0.4837499999999999,20.375,1.7791666666666668,72.29166666666667,52.458333333333336,0,28,8,6,-6.875,79.16666666666667,74.16666666666667,71.70833333333333,27.3,79,28.9,0.7
2022-08-29,43.75833333333333,21.97083333333333,308.9583333333333,14.6625,13.3125,54.5,0.4770833333333333,21.33333333333333,1.8145833333333332,68.0,41.958333333333336,0,29,8,0,-4.291666666666671,72.29166666666667,74.91666666666667,62.91666666666666,27.3,79,22.0,0.1
2022-08-30,47.275,23.479166666666668,391.5,19.3375,17.533333333333335,54.91666666666666,0.5508333333333334,27.666666666666668,1.7125,74.375,53.875,0,30,8,1,6.375,68.0,75.83333333333333,61.708333333333336,27.4,82,19.9,0.0
2022-08-31,40.59583333333333,20.55,359.2916666666667,16.979166666666668,16.670833333333334,58.625,0.5079166666666667,23.5,1.8958333333333333,71.70833333333333,49.54166666666666,0,31,8,2,-2.6666666666666714,74.375,76.66666666666667,63.375,27.3,85,18.8,0.0
2022-09-01,30.870833333333334,16.2375,290.625,13.029166666666669,12.679166666666667,52.41666666666666,0.3983333333333334,12.375,1.98125,62.91666666666666,36.66666666666666,0,1,9,3,-8.791666666666671,71.70833333333333,80.5,74.83333333333333,27.6,84,26.4,0.5
2022-09-02,37.5875,19.216666666666665,362.25,16.349999999999998,16.329166666666666,60.375,0.3691666666666666,18.83333333333333,1.9375,61.708333333333336,38.708333333333336,0,2,9,4,-1.2083333333333215,62.91666666666666,82.875,80.04166666666667,27.7,83,19.7,0.2
2022-09-03,35.12916666666667,19.079166666666666,298.2083333333333,11.720833333333331,12.35,51.875,0.3383333333333334,14.041666666666666,1.9854166666666664,63.375,36.875,0,3,9,5,1.6666666666666643,61.708333333333336,79.16666666666667,71.95833333333333,27.7,82,27.2,0.5
2022-09-04,51.92916666666667,28.59583333333333,274.0416666666667,10.020833333333334,9.9375,49.91666666666666,0.38375,17.083333333333332,1.9166666666666667,74.83333333333333,50.66666666666666,0,4,9,6,11.458333333333329,63.375,72.29166666666667,74.33333333333333,27.6,80,38.2,0.2
2022-09-05,41.65833333333333,21.433333333333334,258.2916666666667,10.8875,11.354166666666666,56.04166666666666,0.4220833333333333,15.333333333333334,1.7833333333333334,80.04166666666667,56.91666666666666,0,5,9,0,5.208333333333343,74.83333333333333,68.0,109.04166666666669,27.6,78,32.7,0.5
