Model,RMSE,MAE,R2
Ridge Regression,28.19121192061684,22.444981102866436,0.10292077644240294
Random Forest,24.177870967224873,17.299551718547345,0.3401588184903733
XGBoost,25.051502054816652,17.476195348994434,0.29161256823703574
LSTM,30.310469695046127,23.807315067842453,-0.00018210710190502688
